status,path,name,activeSelf,activeInHierarchy,canvasPath,hasRectTransform,rectSize,anchoredPosition,anchorMin,anchorMax,pivot,localScale,spriteName,bundle,pathId,sourceWidth,sourceHeight,sourcePngPath,copiedSourcePng,spriteAssetPath,spriteAssetName,addedImageComponent,imageType,preserveAspect,reason
"persistent_image_sprite_bound","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_03_ui_normalbattle_heroitem/imgIconBG/tweener/im_quality","im_quality",true,false,"",true,"84/45","-81/56","0.5/0.5","0.5/0.5","0/0.5","1/1/1","Image_blank","download/artsources/uispriteres/uicommonother.assetbundle","6617065208850742552",2,2,"C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\6617065208850742552_Image_blank.png",true,"Assets/RestoreData/battle/PersistentHudSprites/BATTLE42/download_artsources_uispriteres_uicommonother.assetbundle_6617065208850742552_Image_blank.png","Image_blank",true,"Simple",false,"original BattleHudExtractedSpriteBindingMarker25"
"persistent_image_sprite_bound","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_4/UI_BattleHeroItem/im_bg","im_bg",false,false,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle",true,"90/90","0/0","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","BG_zhuangbeikuang_3","download/artsources/uispriteres/uicommonother.assetbundle","4043117267995258628",142,144,"C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\4043117267995258628_BG_zhuangbeikuang_3.png",true,"Assets/RestoreData/battle/PersistentHudSprites/BATTLE42/download_artsources_uispriteres_uicommonother.assetbundle_4043117267995258628_BG_zhuangbeikuang_3.png","BG_zhuangbeikuang_3",true,"Simple",false,"original BattleHudExtractedSpriteBindingMarker25"
"persistent_image_sprite_bound","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_6/UI_BattleHeroItem/starts/im_start1","im_start1",false,false,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle",true,"21/21","0/0","0/0","0/0","0.5/0.5","1/1/1","im_battle_start","download/artsources/uispriteres/uibattle.assetbundle","7674985865767693901",21,21,"C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_c90bf2901045cf79\images\S\7674985865767693901_im_battle_start.png",true,"Assets/RestoreData/battle/PersistentHudSprites/BATTLE42/download_artsources_uispriteres_uibattle.assetbundle_7674985865767693901_im_battle_start.png","im_battle_start",true,"Simple",false,"original BattleHudExtractedSpriteBindingMarker25"
"persistent_image_sprite_bound","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_06_ui_normalbattle_pause/Center/BT_chetui","BT_chetui",true,false,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_06_ui_normalbattle_pause",true,"84/84","-215/-17","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","BTN_fangqizhandou","download/artsources/uispriteres/uibattle.assetbundle","-8244930706257120366",84,84,"C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_c90bf2901045cf79\images\S\-8244930706257120366_BTN_fangqizhandou.png",true,"Assets/RestoreData/battle/PersistentHudSprites/BATTLE42/download_artsources_uispriteres_uibattle.assetbundle_-8244930706257120366_BTN_fangqizhandou.png","BTN_fangqizhandou",true,"Simple",false,"original BattleHudExtractedSpriteBindingMarker25"
"persistent_image_sprite_bound","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002/imgIconBG/tweener/starts/im_start3","im_start3",true,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle",true,"21/21","0/0","0/0","0/0","0.5/0.5","1/1/1","im_battle_start","download/artsources/uispriteres/uibattle.assetbundle","7674985865767693901",21,21,"C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_c90bf2901045cf79\images\S\7674985865767693901_im_battle_start.png",false,"Assets/RestoreData/battle/PersistentHudSprites/BATTLE42/download_artsources_uispriteres_uibattle.assetbundle_7674985865767693901_im_battle_start.png","im_battle_start",true,"Simple",false,"original BattleHudExtractedSpriteBindingMarker25"
"persistent_image_sprite_bound","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG/bg","bg",true,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle",true,"280/30","0/0","0.5/0.5","0.5/0.5","0.5/0.5","-1/1/1","ba_xuecao_bg1","download/artsources/uispriteres/uibattle.assetbundle","6533218848006892483",279,30,"C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_c90bf2901045cf79\images\S\6533218848006892483_ba_xuecao_bg1.png",true,"Assets/RestoreData/battle/PersistentHudSprites/BATTLE42/download_artsources_uispriteres_uibattle.assetbundle_6533218848006892483_ba_xuecao_bg1.png","ba_xuecao_bg1",true,"Simple",false,"original BattleHudExtractedSpriteBindingMarker25"
"persistent_image_sprite_bound","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_6/UI_BattleHeroItem/starts/im_start3","im_start3",false,false,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle",true,"21/21","0/0","0/0","0/0","0.5/0.5","1/1/1","im_battle_start","download/artsources/uispriteres/uibattle.assetbundle","7674985865767693901",21,21,"C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_c90bf2901045cf79\images\S\7674985865767693901_im_battle_start.png",false,"Assets/RestoreData/battle/PersistentHudSprites/BATTLE42/download_artsources_uispriteres_uibattle.assetbundle_7674985865767693901_im_battle_start.png","im_battle_start",true,"Simple",false,"original BattleHudExtractedSpriteBindingMarker25"
"persistent_image_sprite_bound","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/btnLeftClosebuff","btnLeftClosebuff",false,false,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle",true,"44/120","270/0","0/0.5","0/0.5","0.5/0.5","1/1/1","zd_sqan1","download/artsources/uispriteres/uibattle.assetbundle","2270490347931202257",44,120,"C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_c90bf2901045cf79\images\S\2270490347931202257_zd_sqan1.png",true,"Assets/RestoreData/battle/PersistentHudSprites/BATTLE42/download_artsources_uispriteres_uibattle.assetbundle_2270490347931202257_zd_sqan1.png","zd_sqan1",true,"Simple",false,"original BattleHudExtractedSpriteBindingMarker25"
"persistent_image_sprite_bound","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_6/UI_BattleHeroItem/starts/im_start7","im_start7",false,false,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle",true,"21/21","0/0","0/0","0/0","0.5/0.5","1/1/1","im_battle_start","download/artsources/uispriteres/uibattle.assetbundle","7674985865767693901",21,21,"C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_c90bf2901045cf79\images\S\7674985865767693901_im_battle_start.png",false,"Assets/RestoreData/battle/PersistentHudSprites/BATTLE42/download_artsources_uispriteres_uibattle.assetbundle_7674985865767693901_im_battle_start.png","im_battle_start",true,"Simple",false,"original BattleHudExtractedSpriteBindingMarker25"
"persistent_image_sprite_bound","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_2/UI_BattleHeroItem/im_bg","im_bg",false,false,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle",true,"90/90","0/0","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","BG_zhuangbeikuang_3","download/artsources/uispriteres/uicommonother.assetbundle","4043117267995258628",142,144,"C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\4043117267995258628_BG_zhuangbeikuang_3.png",false,"Assets/RestoreData/battle/PersistentHudSprites/BATTLE42/download_artsources_uispriteres_uicommonother.assetbundle_4043117267995258628_BG_zhuangbeikuang_3.png","BG_zhuangbeikuang_3",true,"Simple",false,"original BattleHudExtractedSpriteBindingMarker25"
