phase,buttonName,pointerPosition,buttonScenePath,handlerPath,luaLifecycleExecuted,buttonInteractable,buttonOnClickPersistentCount,buttonOnClickRuntimeCount,uiEventListenerPresent,uiEventListenerHasDelegate,eventSystemRaycastAllCount,eventTargetIncluded,eventHitPaths,directGraphicRaycasterHitCount,directTargetIncluded,directHitPaths,raycasterManagerCount,raycasterManagerSummary
"edit_before_forced","btnAuto","578/349","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","UI_NormalBattle:86-110 ChangeToAuto(true)/ChangeToManual",false,true,0,0,false,false,0,false,"",0,false,"",0,"typeFound=true | count=0 | "
"edit_before_forced","btnBuff","578/439","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","UI_NormalBattle:180-184 ShowBuffView(f==false)",false,true,0,0,false,false,0,false,"",0,false,"",0,"typeFound=true | count=0 | "
"edit_before_forced","btnTwoSpeed","578/169","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed","UI_NormalBattle:111-131 SetGameSpeed",false,true,0,0,false,false,0,false,"",0,false,"",0,"typeFound=true | count=0 | "
"edit_before_forced","btn_box","2.75/4.15","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box","UI_BattleBoxPage:162-178 UIEventListener.onClick showFlyAction/RecycleBoxInstance",false,true,0,0,true,false,0,false,"",0,false,"",0,"typeFound=true | count=0 | "
"edit_before_forced","btnFastSkill","578/79","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill","UI_NormalBattle:132-146 ChangeGameFastSkill/CheckFastSkill",false,true,0,0,false,false,0,false,"",0,false,"",0,"typeFound=true | count=0 | "
"edit_after_toggle","btnAuto","578/349","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","UI_NormalBattle:86-110 ChangeToAuto(true)/ChangeToManual",false,true,0,0,false,false,0,false,"",0,false,"",0,"typeFound=true | count=0 | "
"edit_after_toggle","btnBuff","578/439","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","UI_NormalBattle:180-184 ShowBuffView(f==false)",false,true,0,0,false,false,0,false,"",0,false,"",0,"typeFound=true | count=0 | "
"edit_after_toggle","btnTwoSpeed","578/169","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed","UI_NormalBattle:111-131 SetGameSpeed",false,true,0,0,false,false,0,false,"",0,false,"",0,"typeFound=true | count=0 | "
"edit_after_toggle","btn_box","2.75/4.15","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box","UI_BattleBoxPage:162-178 UIEventListener.onClick showFlyAction/RecycleBoxInstance",false,true,0,0,true,false,0,false,"",0,false,"",0,"typeFound=true | count=0 | "
"edit_after_toggle","btnFastSkill","578/79","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill","UI_NormalBattle:132-146 ChangeGameFastSkill/CheckFastSkill",false,true,0,0,false,false,0,false,"",0,false,"",0,"typeFound=true | count=0 | "
"edit_after_forced","btnAuto","578/349","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","UI_NormalBattle:86-110 ChangeToAuto(true)/ChangeToManual",false,true,0,0,false,false,0,false,"",0,false,"",9,"typeFound=true | count=9 | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle:UnityEngine.UI.GraphicRaycaster:enabled=True:active=True ; BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_3_1034/HeadBar/imgHPBG:UnityEngine.UI.GraphicRaycaster:enabled=True:active=True ; BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle:UnityEngine.UI.GraphicRaycaster:enabled=True:active=True ; BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle:UnityEngine.UI.GraphicRaycaster:enabled=True:active=True ; BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/HeadBar/imgHPBG:UnityEngine.UI.GraphicRaycaster:enabled=True:active=True ; BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content:UnityEngine.UI.GraphicRaycaster:enabled=True:active=True ; BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item:UnityEngine.UI.GraphicRaycaster:enabled=True:active=True ; BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui:UnityEngine.UI.GraphicRaycaster:enabled=True:active=True ; BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002/HeadBar/imgHPBG:UnityEngine.UI.GraphicRaycaster:enabled=True:active=True"
