module,path_id,file,line,kind,target_expr,target_name,event,handler,raw_line
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,26,listener,btn_fanhui,btn_fanhui,onClick,closeUI,btn_fanhui.onClick:AddListener(closeUI)
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,27,listener,btn_jiantou1,btn_jiantou1,onClick,multiline_or_empty,btn_jiantou1.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,36,listener,btn_jiantou2,btn_jiantou2,onClick,multiline_or_empty,btn_jiantou2.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,45,listener,btn_cancel,btn_cancel,onClick,closeUI,btn_cancel.onClick:AddListener(closeUI)
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,46,listener,btn_queding,btn_queding,onClick,onSave,btn_queding.onClick:AddListener(onSave)
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,47,listener,btn_voselect,btn_voselect,onClick,multiline_or_empty,btn_voselect.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,52,listener,btn_all,btn_all,onClick,multiline_or_empty,btn_all.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,58,listener,btn_li,btn_li,onClick,multiline_or_empty,btn_li.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,64,listener,btn_zhi,btn_zhi,onClick,multiline_or_empty,btn_zhi.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,70,listener,btn_yong,btn_yong,onClick,multiline_or_empty,btn_yong.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,76,listener,btn_zhandou,btn_zhandou,onClick,multiline_or_empty,btn_zhandou.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,82,listener,btn_neiyi,btn_neiyi,onClick,multiline_or_empty,btn_neiyi.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,88,listener,btn_marry,btn_marry,onClick,multiline_or_empty,btn_marry.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,94,listener,btn_selfMarry,btn_selfMarry,onClick,multiline_or_empty,btn_selfMarry.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,100,listener,btn_lord,btn_lord,onClick,multiline_or_empty,btn_lord.onClick:AddListener(
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,113,event_system,CommonEventId.OnMainBgChange,OnMainBgChange,EventSystem.AddListener,onMainBgChange,"EventSystem.AddListener(CommonEventId.OnMainBgChange,onMainBgChange)"
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,114,event_system,CommonEventId.OnFavorabilityRefresh,OnFavorabilityRefresh,EventSystem.AddListener,onFavorabilityRefresh,"EventSystem.AddListener(CommonEventId.OnFavorabilityRefresh,onFavorabilityRefresh)"
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,123,event_system,CommonEventId.OnEventNetReconnectSuccess,OnEventNetReconnectSuccess,EventSystem.AddListener,OnEventNetReconnectSuccess,"EventSystem.AddListener(CommonEventId.OnEventNetReconnectSuccess,OnEventNetReconnectSuccess)"
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,124,event_system,CommonEventId.OnAtlasAndExhibitionRefresh,OnAtlasAndExhibitionRefresh,EventSystem.AddListener,OnGetNewHeroRefresh,"EventSystem.AddListener(CommonEventId.OnAtlasAndExhibitionRefresh,OnGetNewHeroRefresh)"
UI_BgSet,-1733260267463332757,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,276,listener,"e.BiComs[""btn_select""]",btn_select,onClick,multiline_or_empty,"e.BiComs[""btn_select""].onClick:AddListener("
UI_ChangeAccExplain,-1797000904635088904,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1797000904635088904_UI_ChangeAccExplain_security_xor_raw.lua,3,add_btn_click,Image,Image,button,closeUI,"self:AddBtnClickListener(Image,closeUI)"
UI_ChangeAccExplain,-1797000904635088904,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1797000904635088904_UI_ChangeAccExplain_security_xor_raw.lua,4,add_btn_click,btn_fanhui,btn_fanhui,button,closeUI,"self:AddBtnClickListener(btn_fanhui,closeUI)"
UI_ChangeAccExplain,-1797000904635088904,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1797000904635088904_UI_ChangeAccExplain_security_xor_raw.lua,5,add_btn_click,btn_queren,btn_queren,button,gotoChangeView,"self:AddBtnClickListener(btn_queren,gotoChangeView)"
UI_GoldChange,-2389654533681329655,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-2389654533681329655_UI_GoldChange_security_xor_raw.lua,8,listener,Image,Image,onClick,closeUI,Image.onClick:AddListener(closeUI)
UI_GoldChange,-2389654533681329655,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-2389654533681329655_UI_GoldChange_security_xor_raw.lua,9,listener,btn_once,btn_once,onClick,btnBuyOnce,btn_once.onClick:AddListener(btnBuyOnce)
UI_GoldChange,-2389654533681329655,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-2389654533681329655_UI_GoldChange_security_xor_raw.lua,10,listener,btn_all,btn_all,onClick,btnBuyAll,btn_all.onClick:AddListener(btnBuyAll)
UI_GoldChange,-2389654533681329655,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-2389654533681329655_UI_GoldChange_security_xor_raw.lua,11,listener,btn_wenhao,btn_wenhao,onClick,btnGotoVip2,btn_wenhao.onClick:AddListener(btnGotoVip2)
UI_GoldChange,-2389654533681329655,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-2389654533681329655_UI_GoldChange_security_xor_raw.lua,12,listener,but_closeVip,but_closeVip,onClick,inline_function,but_closeVip.onClick:AddListener(function()
UI_GoldChange,-2389654533681329655,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-2389654533681329655_UI_GoldChange_security_xor_raw.lua,25,event_system,CommonEventId.OnEventNetReconnectSuccess,OnEventNetReconnectSuccess,EventSystem.AddListener,OnEventNetReconnectSuccess,"EventSystem.AddListener(CommonEventId.OnEventNetReconnectSuccess,OnEventNetReconnectSuccess)"
UI_Adventure_Item_New,-256044868408587883,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-256044868408587883_UI_Adventure_Item_New_security_xor_raw.lua,59,add_btn_click,a,a,button,inline_function,"self.Bace:AddBtnClickListener(a,function()"
