track,index,objectPath,fieldName,category,requirementLevel,valueState,patchUnlockedBy,unblockCategory
battle,0,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/imgMask,activeInHierarchy,active_chain,blocked-by-component-rehydration,missing,,separate_payload_or_card_ui_blocker_do_not_mix_into_hud_patch
battle,1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/imgMask,activeSelf,active_chain,blocked-by-component-rehydration,missing,,separate_payload_or_card_ui_blocker_do_not_mix_into_hud_patch
battle,2,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/imgMask,enabled,active_chain,blocked-by-component-rehydration,missing,,separate_payload_or_card_ui_blocker_do_not_mix_into_hud_patch
battle,3,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/imgMask,parentActiveChain,active_chain,blocked-by-component-rehydration,missing,,separate_payload_or_card_ui_blocker_do_not_mix_into_hud_patch
battle,4,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/txtBeControl,activeInHierarchy,active_chain,blocked-by-component-rehydration,filled,,separate_payload_or_card_ui_blocker_do_not_mix_into_hud_patch
battle,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/txtBeControl,activeSelf,active_chain,blocked-by-component-rehydration,filled,,separate_payload_or_card_ui_blocker_do_not_mix_into_hud_patch
battle,6,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/txtBeControl,enabled,active_chain,blocked-by-component-rehydration,missing,,separate_payload_or_card_ui_blocker_do_not_mix_into_hud_patch
battle,7,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/txtBeControl,parentActiveChain,active_chain,blocked-by-component-rehydration,filled,,separate_payload_or_card_ui_blocker_do_not_mix_into_hud_patch
battle,8,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002/imgMask,activeInHierarchy,active_chain,blocked-by-component-rehydration,missing,,separate_payload_or_card_ui_blocker_do_not_mix_into_hud_patch
battle,9,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002/imgMask,activeSelf,active_chain,blocked-by-component-rehydration,missing,,separate_payload_or_card_ui_blocker_do_not_mix_into_hud_patch
