actorId,evidenceKind,classification,source,path,line,offset,exists,size,md5,target,matches,note
1036,local_exact_file,exact_local_probe,filesystem,girlswar_merged_extracted/merged_content/AssetBundles/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,False,,,download/roleprefabsandres/battleprefabandres/1036.assetbundle,,exact expected actor bundle path probe
1036,local_exact_file,exact_local_probe,filesystem,girlswar_merged_extracted/restore_overlay/Android/data/com.girlwars.kr/files/build/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,False,,,download/roleprefabsandres/battleprefabandres/1036.assetbundle,,exact expected actor bundle path probe
1036,local_exact_file,exact_local_probe,filesystem,girlswar_merged_extracted/restore_overlay/Android/data/com.girlwars.kr/files/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,False,,,download/roleprefabsandres/battleprefabandres/1036.assetbundle,,exact expected actor bundle path probe
1036,local_exact_file,exact_local_probe,filesystem,girlswar_merged_extracted/extracted/unity/clean_unityfs_slices/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,False,,,download/roleprefabsandres/battleprefabandres/1036.assetbundle,,exact expected actor bundle path probe
1036,local_exact_file,exact_local_probe,filesystem,girlswar_merged_extracted/extracted/unity/bundles/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,False,,,download/roleprefabsandres/battleprefabandres/1036.assetbundle,,exact expected actor bundle path probe
1036,local_exact_file,exact_local_probe,filesystem,girlswar_merged_extracted/split_apks/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,False,,,download/roleprefabsandres/battleprefabandres/1036.assetbundle,,exact expected actor bundle path probe
1036,cdn_versionfile_exact,exact_expected_bundle_index_hit,girlswar_merged_extracted/indexes/versionfile_CDNVersionFile_bytes.csv,download/roleprefabsandres/battleprefabandres/1036.assetbundle,1160,,,1666251,570c8238257cd8ca00a0856427d8c0ae,download/roleprefabsandres/battleprefabandres/1036.assetbundle,,1158 | download/roleprefabsandres/battleprefabandres/1036.assetbundle | 570c8238257cd8ca00a0856427d8c0ae | 1666251 | False | True | 3 | 0 | 1.0.578 | 224
1036,same_filename_different_category,alias_candidate_needs_source_confirmation,girlswar_merged_extracted/indexes/assetbundles.csv,download/roleprefabsandres/rolebigsetpainting/1036.assetbundle,500,,True,1825731,,download/roleprefabsandres/battleprefabandres/1036.assetbundle,,same filename exists under a different resource category; not promoted as actor bundle
1036,same_filename_different_category,alias_candidate_needs_source_confirmation,girlswar_merged_extracted/indexes/assetbundles.csv,download/skillprefabsandres/1036.assetbundle,713,,True,345333,,download/roleprefabsandres/battleprefabandres/1036.assetbundle,,same filename exists under a different resource category; not promoted as actor bundle
1036,report_or_context_hit,source_context,reports/characters/CHARACTER_1036_CDN_ACQUISITION_TRACE.csv,,2,,,,,1036|1036|1036|Assets/Download/RolePrefabsAndRes/BattlePrefabAndRes/1036/Hero_1036.prefab,,"index_row,exact_target_index_evidence,cdn_versionfile,girlswar_merged_extracted/indexes/versionfile_CDNVersionFile_bytes.csv,,,,""{""""index"""": """"1158"""", """"AssetBundleName"""": """"download/roleprefabsandres/battleprefabandres/1036.assetbundle"""", """"MD5"""": """"570c8238257cd8ca00a0856427d8c0ae"""", """"Size"""": """"1666251"""", """"IsFirstData"""": """"False"""", """"IsEncrypt"""": """"True"""", """"Priority"""": """"3"""", """"Category"""": """"0"""", """"Version"""": """"1.0.578"""", """"ResOffset"""": """"224""""}"",1666251,570c8238257cd8ca00a0856427d8c0ae,True,"
1036,report_or_context_hit,source_context,reports/characters/CHARACTER_1036_CDN_ACQUISITION_TRACE.csv,,3,,,,,1036|1036|1036|Assets/Download/RolePrefabsAndRes/BattlePrefabAndRes/1036/Hero_1036.prefab,,"local_exact_path,local_exact_path_check,filesystem,girlswar_merged_extracted/merged_content/AssetBundles/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,,,,,False,missing"
1036,report_or_context_hit,source_context,reports/characters/CHARACTER_1036_CDN_ACQUISITION_TRACE.csv,,4,,,,,1036|1036|1036|Assets/Download/RolePrefabsAndRes/BattlePrefabAndRes/1036/Hero_1036.prefab,,"local_exact_path,local_exact_path_check,filesystem,girlswar_merged_extracted/restore_overlay/Android/data/com.girlwars.kr/files/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,,,,,False,missing"
1036,report_or_context_hit,source_context,reports/characters/CHARACTER_1036_CDN_ACQUISITION_TRACE.csv,,5,,,,,1036|1036|1036|Assets/Download/RolePrefabsAndRes/BattlePrefabAndRes/1036/Hero_1036.prefab,,"local_exact_path,local_exact_path_check,filesystem,girlswar_merged_extracted/restore_overlay/Android/data/com.girlwars.kr/files/build/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,,,,,False,missing"
1036,report_or_context_hit,source_context,reports/characters/CHARACTER_1036_CDN_ACQUISITION_TRACE.csv,,6,,,,,1036|1036|1036|Assets/Download/RolePrefabsAndRes/BattlePrefabAndRes/1036/Hero_1036.prefab,,"local_exact_path,local_exact_path_check,filesystem,girlswar_merged_extracted/extracted/unity/clean_unityfs_slices/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,,,,,False,missing"
1036,report_or_context_hit,source_context,reports/characters/CHARACTER_1036_CDN_ACQUISITION_TRACE.csv,,7,,,,,1036|1036|1036|Assets/Download/RolePrefabsAndRes/BattlePrefabAndRes/1036/Hero_1036.prefab,,"local_exact_path,local_exact_path_check,filesystem,girlswar_merged_extracted/extracted/unity/bundles/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,,,,,False,missing"
1036,report_or_context_hit,source_context,reports/characters/CHARACTER_1036_CDN_ACQUISITION_TRACE.csv,,8,,,,,1036|1036|1036|Assets/Download/RolePrefabsAndRes/BattlePrefabAndRes/1036/Hero_1036.prefab,,"local_exact_path,local_exact_path_check,filesystem,girlswar_merged_extracted/split_apks/download/roleprefabsandres/battleprefabandres/1036.assetbundle,,,,,,,False,missing"
