local e=
{
ByIdx={
{101,950001,1,3,250,0,3,10},
{102,950001,2,3,500,30,60,50},
{103,950001,3,3,1250,5000,120,100},
{201,950002,1,2,250,0,5,10},
{202,950002,2,2,500,30,60,50},
{203,950002,3,2,1250,5000,120,100},
{301,950003,1,1,250,0,10,10},
{302,950003,2,1,500,60,60,50},
{303,950003,3,1,1250,5000,120,100},
{401,950004,1,3,250,0,15,10},
{402,950004,2,3,500,90,60,50},
{403,950004,3,3,1250,5000,120,100},
{501,950005,1,2,250,0,30,10},
{502,950005,2,2,500,40,120,30},
{503,950005,3,2,1250,3000,240,60},
{601,950006,1,1,250,0,60,10},
{602,950006,2,1,500,60,120,30},
{603,950006,3,1,1250,3000,240,60},
{701,950007,1,3,250,0,180,10},
{702,950007,2,3,500,60,240,20},
{703,950007,3,3,1250,2000,360,50},
{801,950008,1,2,250,0,180,10},
{802,950008,2,2,500,40,240,20},
{803,950008,3,2,1250,2000,360,50},
{901,950009,1,1,250,0,240,10},
{902,950009,2,1,500,40,360,20},
{903,950009,3,1,1250,2000,480,50},
{1001,950010,1,3,250,0,240,10},
{1002,950010,2,3,500,100,360,20},
{1003,950010,3,3,1250,2000,480,50},
{1101,950011,1,2,250,0,240,10},
{1102,950011,2,2,500,50,360,20},
{1103,950011,3,2,1250,2000,480,50},
{1201,950012,1,1,250,0,240,10},
{1202,950012,2,1,500,90,360,20},
{1203,950012,3,1,1250,2000,480,50},
{1301,950013,1,2,250,0,240,10},
{1302,950013,2,2,500,70,360,20},
{1303,950013,3,2,1250,2000,480,50},
{1401,950014,1,2,250,0,240,10},
{1402,950014,2,2,500,60,360,20},
{1403,950014,3,2,1250,2000,480,50},
{1501,950015,1,3,250,0,240,10},
{1502,950015,2,3,500,70,360,20},
{1503,950015,3,3,1250,2000,480,50},
{1601,950016,1,1,250,0,240,10},
{1602,950016,2,1,500,90,360,20},
{1603,950016,3,1,1250,2000,480,50},
{1701,950017,1,3,250,0,360,10},
{1702,950017,2,3,500,70,480,20},
{1703,950017,3,3,1250,2000,720,50},
{1801,950018,1,1,250,0,360,10},
{1802,950018,2,1,500,90,480,20},
{1803,950018,3,1,1250,2000,720,50},
{1901,950019,1,1,250,0,360,10},
{1902,950019,2,1,500,110,480,20},
{1903,950019,3,1,1250,2000,720,50},
{2001,950020,1,3,250,0,360,10},
{2002,950020,2,3,500,100,480,20},
{2003,950020,3,3,1250,2000,720,50},
{2101,950021,1,1,250,0,360,10},
{2102,950021,2,1,500,70,480,20},
{2103,950021,3,1,1250,2000,720,50},
{2201,950022,1,3,250,0,360,10},
{2202,950022,2,3,500,60,480,20},
{2203,950022,3,3,1250,2000,720,50},
{2301,950023,1,2,250,0,360,10},
{2302,950023,2,2,500,60,480,20},
{2303,950023,3,2,1250,2000,720,50},
{2401,950024,1,2,250,0,360,10},
{2402,950024,2,2,500,60,480,20},
{2403,950024,3,2,1250,2000,720,50}
},
Len=72
}
return e 
