bindingRoot,groupName,comName,comType,comObjPathId,comGameObjectId,mappedGameObjectIdFromRect,sourceHasSkeletonGraphic,sourceHasUISpineCtr,skeletonGraphicComponentCount,uiSpineCtrComponentCount,skeletonGraphicDetails,candidateComponentTypes,candidateHasRealRenderer,luaCallsite,bindingStatus,decision
UI_Dock,spine,sp_mainpage,3,3835362230345717257,3835362230345717257,4183441883565896812,True,True,1,1,component=6520642389043690046;skeletonDataAsset=fileID=27;pathID=9141383861460370126;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock,spine,sp_camp,3,4593879884870609137,4593879884870609137,6078837968512827181,True,True,1,1,component=-5965854134852019789;skeletonDataAsset=fileID=27;pathID=-2484884866850559576;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock,spine,sp_bag,3,3425111358649296926,3425111358649296926,7674843145692285666,True,True,1,1,component=8805731945869525832;skeletonDataAsset=fileID=27;pathID=4383664063026030399;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock,spine,sp_expedition,3,-5242930961941176902,-5242930961941176902,-2755218389452928994,True,True,1,1,component=-8384143423760730270;skeletonDataAsset=fileID=27;pathID=990493154963787777;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock,spine,sp_adventureInterface,3,6488046465587119062,6488046465587119062,-2299368715563802165,True,True,1,1,component=-2382499372642144125;skeletonDataAsset=fileID=27;pathID=6442536793674886619;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock,spine,sp_guild,3,5586381430955413960,5586381430955413960,-1956278845844823857,True,True,1,1,component=8804818357635104338;skeletonDataAsset=fileID=27;pathID=7932651464959173778;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock,spine,sp_maincity,3,2275674091209698383,2275674091209698383,4918250107611828078,True,True,1,1,component=880640579749066797;skeletonDataAsset=fileID=27;pathID=2535488780058187540;startingAnimation=animation;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock,spine,spine_xiaoshou,3,-4598243874201664563,-4598243874201664563,-6293008021155284077,True,True,1,1,component=5221787958345811023;skeletonDataAsset=fileID=17;pathID=-300655369511109608;startingAnimation=B;startingLoop=0;material=fileID=6;pathID=1869315399850166803,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock,spine,dianjigq1,3,8902403107068456858,8902403107068456858,482904820609300753,False,False,0,0,,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",recttransform_or_binding_only_no_renderer_chain,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,spine,sp_mainpage,3,4341255657989072966,4341255657989072966,-5590277037227402608,True,True,1,1,component=1287434242881535024;skeletonDataAsset=fileID=27;pathID=9141383861460370126;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,spine,sp_camp,3,-7009234093381387197,-7009234093381387197,-1041402722932058364,True,True,1,1,component=4300386076024680116;skeletonDataAsset=fileID=27;pathID=-2484884866850559576;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,spine,sp_bag,3,-3110816849774650311,-3110816849774650311,4475535271019323902,True,True,1,1,component=4026045728779029877;skeletonDataAsset=fileID=27;pathID=4383664063026030399;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,spine,sp_expedition,3,-4922921401712801727,-4922921401712801727,-1609297541623132870,True,True,1,1,component=2253730741089964722;skeletonDataAsset=fileID=27;pathID=990493154963787777;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,spine,sp_adventureInterface,3,8067714798999839745,8067714798999839745,-1442302260515814856,True,True,1,1,component=7804744699025218396;skeletonDataAsset=fileID=27;pathID=6442536793674886619;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,spine,sp_guild,3,3033203432275378293,3033203432275378293,3068046795667839243,True,True,1,1,component=-2814473136595936484;skeletonDataAsset=fileID=27;pathID=7932651464959173778;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,spine,sp_maincity,3,4674823173013261348,4674823173013261348,8614995212181970182,True,True,1,1,component=-2531339045015541308;skeletonDataAsset=fileID=27;pathID=2535488780058187540;startingAnimation=animation;startingLoop=1;material=fileID=6;pathID=4191673546758847426,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,spine,spine_xiaoshou,3,1940689361009882882,1940689361009882882,2619564695670884817,True,True,1,1,component=2401162436485813899;skeletonDataAsset=fileID=17;pathID=-300655369511109608;startingAnimation=B;startingLoop=0;material=fileID=6;pathID=1869315399850166803,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,spine,dianjigq1,3,-2884982479694335499,-2884982479694335499,-2765913105869605760,False,False,0,0,,RectTransform,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",recttransform_or_binding_only_no_renderer_chain,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,gray_spine,sp_mainpage_gray,25,7280241932530109511,-5590277037227402608,,True,True,1,2,component=1287434242881535024;skeletonDataAsset=fileID=27;pathID=9141383861460370126;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,not_found,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,gray_spine,sp_camp_gray,25,-4737128352586774741,-1041402722932058364,,True,True,1,2,component=4300386076024680116;skeletonDataAsset=fileID=27;pathID=-2484884866850559576;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,not_found,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,gray_spine,sp_bag_gray,25,484843627747819872,4475535271019323902,,True,True,1,2,component=4026045728779029877;skeletonDataAsset=fileID=27;pathID=4383664063026030399;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,not_found,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,gray_spine,sp_expedition_gray,25,6975581089266789427,-1609297541623132870,,True,True,1,2,component=2253730741089964722;skeletonDataAsset=fileID=27;pathID=990493154963787777;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,not_found,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,gray_spine,sp_adventureInterface_gray,25,8629526118515824706,-1442302260515814856,,True,True,1,2,component=7804744699025218396;skeletonDataAsset=fileID=27;pathID=6442536793674886619;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,not_found,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,gray_spine,sp_guild_gray,25,-8489906779884628199,3068046795667839243,,True,True,1,2,component=-2814473136595936484;skeletonDataAsset=fileID=27;pathID=7932651464959173778;startingAnimation=A;startingLoop=1;material=fileID=6;pathID=4191673546758847426,not_found,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
UI_Dock_old,gray_spine,sp_maincity_gray,25,4764292288246725389,8614995212181970182,,True,True,1,2,component=-2531339045015541308;skeletonDataAsset=fileID=27;pathID=2535488780058187540;startingAnimation=animation;startingLoop=1;material=fileID=6;pathID=4191673546758847426,not_found,False,"UI_Dock.initTab lines 138-149: GetComponent(CS.YouYou.UISpineCtr), PlayAnimation A/B",source_binding_present_candidate_missing_runtime_renderer,no_patch_until_source_renderer_reconstruction_and_depth_stack_are_both_exact
