path_id,game_object_id,name,active,father_id,father_name,sibling_index,anchored_pos,size_delta,local_scale,zero_scale,path
-9209347104461309832,5031097393348093697,bg_name,False,8444910397335596046,,0,"3.100006103515625,0.0","56.0,22.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/liaotian(5395517689795111462)/Viewport(-5811453999897481428)/Content(-2026137088678169135)/other(4003934377218003891)/text_youjian(8444910397335596046)/bg_name(-9209347104461309832)
-9187470536547034892,2822546135608862477,root_red_fix,True,-1732933284312421217,,5,"26.0,26.0","100.0,100.0","1.0,1.0,1.0",False,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/node_act_btn(-2702129779362243929)/btn_act_17(-1732933284312421217)/root_red_fix(-9187470536547034892)
-9180670407118076205,7000841526401403172,SkeletonGraphic (hongdian01),False,-931540781044641590,,0,"0.0,0.0","33.0,32.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/autoHelper_Root(-7066683132857930382)/autoHelperRedDot(-931540781044641590)/SkeletonGraphic (hongdian01)(-9180670407118076205)
-9149647128896630310,-4052542709859237450,text_num,False,5743858256472703651,,1,"0.0,0.0","40.0,30.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/left_node_face_btn(1861898826191704551)/btn_face_item_1(-3948317681477490579)/im_qipao1(5743858256472703651)/text_num(-9149647128896630310)
-9138204023542992015,8182931624728516534,mask,True,5568884429252053541,,7,"0.0,0.0","0.0,100.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/mask(-9138204023542992015)
-9127774865139156643,-3211364850156125167,root_taskNotice,False,-7709903567246479490,,8,"343.10003662109375,-12.89996337890625","322.0,80.0","0.949999988079071,0.949999988079071,1.0",False,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/root_taskNotice(-9127774865139156643)
-9096701703858665559,5410741362853330316,im_redpoint_funhandbook,False,7845553199416412129,,1,"18.0,19.5","27.0,27.0","0.6000000238418579,0.6000000238418579,1.0",False,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/funcsBtnOpt(-957505502039124638)/im_funhandbook_bg(7845553199416412129)/im_redpoint_funhandbook(-9096701703858665559)
-9075104532390718781,5702423596433342886,Image,True,1445380050083804015,,2,"0.0,0.0","342.0,135.0","1.0,1.0,1.0",False,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/liaotian(1445380050083804015)/Image(-9075104532390718781)
-9047331040974660233,-829607632274919997,un_MainInterface_fire,False,-3930377403474185176,,2,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/un_MainInterface_fire(-9047331040974660233)
-9038556042664949858,-7164761427818791499,txt_act_name,True,-4607820658579468155,,3,"0.0,-36.0","90.0,14.010000228881836","1.0,1.0,1.0",False,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/node_act_btn(-2702129779362243929)/btn_act_16(-4607820658579468155)/txt_act_name(-9038556042664949858)
-9026556915798597321,7843091743582124696,btn_act_3,True,-6697018699563164382,,3,"0.0,0.0","0.0,0.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_act_3(-9026556915798597321)
-9026409384911866612,6829488236386157781,im_qipao2,True,8200385986759628221,,0,"12.54991340637207,29.00000762939453","30.0,30.0","1.0,1.0,1.0",False,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/btn_youjian(-1189460423525129158)/qipao(8200385986759628221)/im_qipao2(-9026409384911866612)
-9006031666404957882,-2953389088978302027,Renderer9,False,-3554275595740588331,,9,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/root_taskNotice(-9127774865139156643)/spine_bg(-3554275595740588331)/Renderer9(-9006031666404957882)
-9003613713569164504,-7776038682855926231,text_num,False,-8231863444120917264,,1,"0.0,0.0","40.0,30.0","1.0,1.0,1.0",False,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/node_act_btn(-2702129779362243929)/btn_act_6(-3654042949265191491)/im_qipao1(-8231863444120917264)/text_num(-9003613713569164504)
-8997358644525314395,-739774170553967288,text_num,False,8371079076259191397,,1,"0.0,0.0","40.0,30.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/left_node_face_btn(1861898826191704551)/btn_face_item_3(5371914987803865122)/im_qipao1(8371079076259191397)/text_num(-8997358644525314395)
-8983757685903538481,-361521738298487153,im_fengxian,True,-7657983126192800822,,0,"-262.0,-151.0","500.0,12.0","1.0,1.0,1.0",False,UI_SystemSettings(-6416344286478723216)/pop_Content(3777259328428099603)/bottom(-7657983126192800822)/im_fengxian(-8983757685903538481)
-8964177782053028160,-3081033315441176970,bg_guanzhi,True,-2194597288458085354,,11,"-241.89999389648438,41.5","160.0,117.0","0.6000000238418579,0.6000000238418579,1.0",False,UI_MainInterface_old(2475216337245998118)/left(8354406432209300530)/bg_juese(-2194597288458085354)/bg_guanzhi(-8964177782053028160)
-8963580708010450088,-2097571399620498979,root_red_special,True,-8188086455615052899,,0,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_act_7(-3144631647643941518)/root_red_fix(-8188086455615052899)/root_red_special(-8963580708010450088)
-8959560924587426541,9019926427908895691,Renderer8,False,3122424037418622381,,8,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276)/spine_xiaoshou(3122424037418622381)/Renderer8(-8959560924587426541)
-8953754584111101858,-6101740150280731012,RedDot,True,3267976971513925781,,0,"0.0,0.0","27.0,27.0","0.800000011920929,0.800000011920929,1.0",False,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/node_act_btn(-2702129779362243929)/btn_act_14(-7919623630181505348)/im_qipao1(3267976971513925781)/RedDot(-8953754584111101858)
-8944789959033101677,-7862708552022441597,Renderer26,False,3122424037418622381,,26,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276)/spine_xiaoshou(3122424037418622381)/Renderer26(-8944789959033101677)
