rootName,rootGameObjectId,rootRectPathId,componentPathId,componentKind,scriptId,keys,containsDepthOrCanvasFields,interpretation
UI_Dock_old,-7836955457927708483,-1887796705374699072,-7042423676774442879,MonoBehaviour,8347263561838679580,LuaScriptPath;enumActive;isPopAnim;luaScript;m_Enabled;m_GameObject;m_LuaComGroups;m_Name;m_Script;seqActionStauts,False,LuaForm-like component; serialized keys do not expose UIFormBase CurrCanvas/Depth.
UI_Dock_old,-7836955457927708483,-1887796705374699072,7315716824682460655,MonoBehaviour,8390977652835490180,m_BlockingMask;m_BlockingObjects;m_Enabled;m_GameObject;m_IgnoreReversedGraphics;m_Name;m_Script,False,GraphicRaycaster-like serialized component.
UI_Dock_old,-7836955457927708483,-1887796705374699072,7774913433005770036,MonoBehaviour,2349074181781781832,m_Enabled;m_GameObject;m_LuaCom;m_Name;m_Script;pageId,False,UI_Dock/UI page helper component; serialized keys expose LuaCom/pageId only.
UI_MainInterface_old,-2112429087779887161,2475216337245998118,-6800869770090420764,MonoBehaviour,8347263561838679580,LuaScriptPath;enumActive;isPopAnim;luaScript;m_Enabled;m_GameObject;m_LuaComGroups;m_Name;m_Script;seqActionStauts,False,LuaForm-like component; serialized keys do not expose UIFormBase CurrCanvas/Depth.
UI_MainInterface_old,-2112429087779887161,2475216337245998118,-4992008456873410367,MonoBehaviour,2349074181781781832,m_Enabled;m_GameObject;m_LuaCom;m_Name;m_Script;pageId,False,UI_Dock/UI page helper component; serialized keys expose LuaCom/pageId only.
UI_MainInterface_old,-2112429087779887161,2475216337245998118,3971823068700104830,MonoBehaviour,8390977652835490180,m_BlockingMask;m_BlockingObjects;m_Enabled;m_GameObject;m_IgnoreReversedGraphics;m_Name;m_Script,False,GraphicRaycaster-like serialized component.
UI_MainInterface_old,-2112429087779887161,2475216337245998118,7312715106723044807,MonoBehaviour,1000905783825868205,aniNames;animator;m_Enabled;m_GameObject;m_Name;m_Script;triggerInfos;uiForm,False,root serialized component
UI_MainInterface,-883079703027215962,5568884429252053541,-8987083808260043621,MonoBehaviour,8347263561838679580,LuaScriptPath;enumActive;isPopAnim;luaScript;m_Enabled;m_GameObject;m_LuaComGroups;m_Name;m_Script;seqActionStauts,False,LuaForm-like component; serialized keys do not expose UIFormBase CurrCanvas/Depth.
UI_MainInterface,-883079703027215962,5568884429252053541,49715386400658420,MonoBehaviour,8390977652835490180,m_BlockingMask;m_BlockingObjects;m_Enabled;m_GameObject;m_IgnoreReversedGraphics;m_Name;m_Script,False,GraphicRaycaster-like serialized component.
UI_MainInterface,-883079703027215962,5568884429252053541,6878794102110518436,MonoBehaviour,2349074181781781832,m_Enabled;m_GameObject;m_LuaCom;m_Name;m_Script;pageId,False,UI_Dock/UI page helper component; serialized keys expose LuaCom/pageId only.
UI_Dock,-2739981314955153384,7409970622389811116,-8365219102625758705,MonoBehaviour,8347263561838679580,LuaScriptPath;enumActive;isPopAnim;luaScript;m_Enabled;m_GameObject;m_LuaComGroups;m_Name;m_Script;seqActionStauts,False,LuaForm-like component; serialized keys do not expose UIFormBase CurrCanvas/Depth.
UI_Dock,-2739981314955153384,7409970622389811116,-2309376417025553547,MonoBehaviour,2349074181781781832,m_Enabled;m_GameObject;m_LuaCom;m_Name;m_Script;pageId,False,UI_Dock/UI page helper component; serialized keys expose LuaCom/pageId only.
UI_Dock,-2739981314955153384,7409970622389811116,4953807069222896259,MonoBehaviour,8390977652835490180,m_BlockingMask;m_BlockingObjects;m_Enabled;m_GameObject;m_IgnoreReversedGraphics;m_Name;m_Script,False,GraphicRaycaster-like serialized component.
