captureLabel,region,meanAbsDiff,rmsDiff,changedPixelRatio30,pixelCorrelation,capturePath
ui126_old_root_candidate,full,0.317361,0.411613,0.804619,0.394045,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui126_old_root_candidate,top_bar,0.391122,0.477068,0.937316,0.276555,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui126_old_root_candidate,left_lobby,0.36073,0.442433,0.880512,0.27857,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui126_old_root_candidate,center_hero,0.272582,0.373222,0.715867,0.432135,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui126_old_root_candidate,right_activity_chat,0.313985,0.404938,0.821235,0.41127,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui126_old_root_candidate,right_activity_stack,0.225139,0.328707,0.647731,0.389402,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui126_old_root_candidate,bottom_nav,0.335393,0.442335,0.756429,0.345429,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui127_oldroot_bg1005_candidate,full,0.209078,0.293563,0.70151,0.424216,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui127_oldroot_bg1005_runtime_candidate_1680x720.png
ui127_oldroot_bg1005_candidate,top_bar,0.259423,0.34665,0.845276,0.27287,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui127_oldroot_bg1005_runtime_candidate_1680x720.png
ui127_oldroot_bg1005_candidate,left_lobby,0.235589,0.319403,0.760603,0.306586,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui127_oldroot_bg1005_runtime_candidate_1680x720.png
ui127_oldroot_bg1005_candidate,center_hero,0.184641,0.27079,0.61333,0.475187,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui127_oldroot_bg1005_runtime_candidate_1680x720.png
ui127_oldroot_bg1005_candidate,right_activity_chat,0.213443,0.295008,0.716395,0.432428,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui127_oldroot_bg1005_runtime_candidate_1680x720.png
ui127_oldroot_bg1005_candidate,right_activity_stack,0.172234,0.25376,0.632037,0.421186,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui127_oldroot_bg1005_runtime_candidate_1680x720.png
ui127_oldroot_bg1005_candidate,bottom_nav,0.192609,0.271701,0.689141,0.384463,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui127_oldroot_bg1005_runtime_candidate_1680x720.png
ui128_oldroot_activity_text_tmp_click_candidate,full,0.209078,0.293563,0.70151,0.424216,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui128_oldroot_runtime_activity_text_tmp_click_candidate_1680x720.png
ui128_oldroot_activity_text_tmp_click_candidate,top_bar,0.259423,0.34665,0.845276,0.27287,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui128_oldroot_runtime_activity_text_tmp_click_candidate_1680x720.png
ui128_oldroot_activity_text_tmp_click_candidate,left_lobby,0.235589,0.319403,0.760603,0.306586,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui128_oldroot_runtime_activity_text_tmp_click_candidate_1680x720.png
ui128_oldroot_activity_text_tmp_click_candidate,center_hero,0.184641,0.27079,0.61333,0.475187,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui128_oldroot_runtime_activity_text_tmp_click_candidate_1680x720.png
ui128_oldroot_activity_text_tmp_click_candidate,right_activity_chat,0.213443,0.295008,0.716395,0.432428,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui128_oldroot_runtime_activity_text_tmp_click_candidate_1680x720.png
ui128_oldroot_activity_text_tmp_click_candidate,right_activity_stack,0.172234,0.25376,0.632037,0.421186,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui128_oldroot_runtime_activity_text_tmp_click_candidate_1680x720.png
ui128_oldroot_activity_text_tmp_click_candidate,bottom_nav,0.192609,0.271701,0.689141,0.384463,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui128_oldroot_runtime_activity_text_tmp_click_candidate_1680x720.png
