captureLabel,region,meanAbsDiff,rmsDiff,changedPixelRatio30,pixelCorrelation,capturePath
ui124_new_root,full,0.265278,0.343341,0.860502,0.188564,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui124_hero1005_spine_1680x720.png
ui124_new_root,top_bar,0.291487,0.380424,0.875696,0.110685,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui124_hero1005_spine_1680x720.png
ui124_new_root,left_lobby,0.270011,0.347993,0.880997,0.162509,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui124_hero1005_spine_1680x720.png
ui124_new_root,center_hero,0.256085,0.3327,0.853481,0.18055,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui124_hero1005_spine_1680x720.png
ui124_new_root,right_cluster,0.266764,0.345988,0.832856,0.149644,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui124_hero1005_spine_1680x720.png
ui124_new_root,bottom_nav,0.281403,0.350866,0.910804,0.061431,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui124_hero1005_spine_1680x720.png
ui126_old_root_candidate,full,0.317361,0.411613,0.804619,0.394,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui126_old_root_candidate,top_bar,0.378911,0.466287,0.927752,0.254962,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui126_old_root_candidate,left_lobby,0.358582,0.444211,0.862859,0.27576,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui126_old_root_candidate,center_hero,0.275788,0.37231,0.734761,0.453861,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui126_old_root_candidate,right_cluster,0.317282,0.404411,0.833205,0.444489,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
ui126_old_root_candidate,bottom_nav,0.320367,0.426794,0.733498,0.408792,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png
