bundle,component_path_id,game_object_id,game_object_name,script_id,content,viewport,horizontal,vertical,movement_type,elasticity,inertia
download/ui/uiprefabandres/maininterface.assetbundle,-8643089165402650318,-9183522401660256794,zongxiang,-8826248144273319766,570439501178649495,-5701156401099451883,0,1,1,0.10000000149011612,1
download/ui/uiprefabandres/maininterface.assetbundle,-6860493538146456270,-7468116794811241289,zongxiang,-8826248144273319766,-3056532386060783687,4071801653022021529,0,1,1,0.10000000149011612,1
download/ui/uiprefabandres/maininterface.assetbundle,-5021414110673016939,-5506068946264172887,huodong3,-8826248144273319766,-2208969483977481988,4940853044098671873,1,0,1,0.10000000149011612,1
download/ui/uiprefabandres/maininterface.assetbundle,-2781397509352703683,-2703548772109613229,ScrollViewActBanner,-8826248144273319766,-3416026092217416707,-5551774702119383430,1,0,1,0.10000000149011612,1
download/ui/uiprefabandres/maininterface.assetbundle,-1035290833150969496,-2301807109653238963,hengxiang,-8826248144273319766,-5779106439612760069,-3362254963943026914,1,0,1,0.10000000149011612,1
download/ui/uiprefabandres/maininterface.assetbundle,-362923589731945491,-2835316424224485436,Scroll View,-8826248144273319766,-2652013264264088857,3507754679692268098,0,1,1,0.10000000149011612,1
download/ui/uiprefabandres/maininterface.assetbundle,468545481393456469,1844543018894302099,liaotian,-8826248144273319766,4423139322027542649,-5205119580147920772,0,1,1,0.10000000149011612,1
download/ui/uiprefabandres/maininterface.assetbundle,1596217464242222237,1774505521901587768,zongxiang,-8826248144273319766,-8004103605071792143,-4178981753269869888,0,1,1,0.10000000149011612,1
download/ui/uiprefabandres/maininterface.assetbundle,1651038172241843451,9175853281445361144,liaotian,-8826248144273319766,-2026137088678169135,-5811453999897481428,0,1,1,0.10000000149011612,1
download/ui/uiprefabandres/maininterface.assetbundle,7153563002939820817,-8456001285148347078,huodong3,-8826248144273319766,-2821957406048891241,4633266571554794787,1,0,1,0.10000000149011612,1
download/ui/uiprefabandres/maininterface.assetbundle,7853763378951444545,-5021967598833504029,zongxiang,-8826248144273319766,3106041161036614911,-5225112669437357770,0,1,1,0.10000000149011612,1
download/ui/uiprefabandres/maininterface.assetbundle,8370476796090588734,9037770004242262767,zongxiang,-8826248144273319766,1677026324647820591,-5123060364854839200,0,1,1,0.10000000149011612,1
