local e=
{
ByIdx={
{1,72000,9000,4500,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,50,1420,3,1,1001,22050,1},
{2,72000,9000,4500,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,20000,0,700,50,1620,3,1,1002,22050,2},
{3,72000,9000,4500,0,0,0,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,700,50,1220,3,1,1003,22050,3},
{4,72000,9000,4500,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,20000,0,700,50,1220,3,1,1004,22050,4},
{5,72000,9000,4500,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,20000,0,700,50,1020,3,1,1005,22050,1},
{6,72000,9000,4500,0,0,0,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,700,50,1420,3,1,1006,22050,2},
{7,72000,9000,4500,0,0,0,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,700,50,1220,3,1,1007,22050,3},
{8,72000,9000,4500,0,0,0,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,700,50,1620,3,1,1008,22050,4},
{9,72000,9000,4500,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,50,1220,3,1,1009,22050,1},
{10,72000,9000,4500,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,50,1620,3,1,1010,22050,2},
{11,72000,9000,4500,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,50,1420,3,1,1011,22050,3},
{12,84000,10500,5250,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,50,1720,3,1,1012,25725,4},
{13,72000,9000,4500,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,20000,0,700,50,1420,3,1,1013,22050,1},
{14,72000,9000,4500,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,20000,0,700,50,1420,3,1,1014,22050,2},
{15,84000,10500,5250,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,20000,0,700,50,1120,3,1,1015,25725,3},
{16,84000,10500,5250,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,50,1120,3,1,1016,25725,4},
{17,84000,10500,5250,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,20000,0,700,50,1720,3,1,1017,25725,1},
{18,84000,10500,5250,0,0,0,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,700,50,1320,3,1,1018,25725,2},
