local e=
{
ByIdx={
{1,25,2,4,2000,99,25,25},
{2,30,3,6,8000,99,30,30},
{3,35,3,6,12000,99,35,35},
{4,40,3,6,18000,99,40,40},
{5,45,4,8,24000,99,40,40},
{6,50,4,8,30000,99,40,40},
{7,50,4,8,36000,99,40,40},
{8,50,4,8,45000,99,40,40},
{9,50,4,8,54000,99,40,40},
{10,50,5,10,62000,99,40,40},
{11,50,5,10,73000,99,40,40},
{12,50,5,10,85000,99,40,40},
{13,50,5,10,97000,99,40,40},
{14,50,5,10,110000,99,40,40},
{15,50,5,10,125000,99,40,40},
{16,50,5,10,140000,99,40,40},
{17,50,5,10,157000,99,40,40},
{18,50,5,10,174000,99,40,40},
{19,50,5,10,192000,99,40,40},
{20,50,5,10,211000,99,40,40},
{21,50,5,10,232000,99,40,40},
{22,50,5,10,253000,99,40,40},
{23,50,5,10,274600,99,40,40},
{24,50,5,10,297600,99,40,40},
{25,50,5,10,320000,99,40,40},
{26,50,5,10,350000,99,40,40},
{27,50,5,10,373000,99,40,40},
{28,50,5,10,399000,99,40,40},
{29,50,5,10,428000,99,40,40},
{30,50,5,10,456000,99,40,40},
{31,50,5,10,484000,99,40,40},
{32,50,5,10,512000,99,40,40},
{33,50,5,10,540000,99,40,40},
{34,50,5,10,568000,99,40,40},
{35,50,5,10,596000,99,40,40},
{36,50,5,10,624000,99,40,40},
{37,50,5,10,652000,99,40,40},
{38,50,5,10,680000,99,40,40},
{39,50,5,10,708000,99,40,40},
{40,50,5,10,736000,99,40,40},
{41,50,5,10,764000,99,40,40},
{42,50,5,10,792000,99,40,40},
{43,50,5,10,820000,99,40,40},
{44,50,5,10,848000,99,40,40},
{45,50,5,10,876000,99,40,40},
{46,50,5,10,904000,99,40,40},
{47,50,5,10,932000,99,40,40},
{48,50,5,10,960000,99,40,40},
{49,50,5,10,988000,99,40,40},
{50,50,5,10,1016000,99,40,40}
},
Len=50
}
return e 
