local e=
{
ByIdx={
{1,1,1,99353,99357,99358,600},
{2,1,2,99356,99354,99357,600},
{3,1,3,99355,99354,99354,600},
{4,1,4,99357,99353,99355,600},
{5,1,5,99355,99358,99353,600},
{6,2,1,99353,99357,99358,600},
{7,2,2,99351,99355,99357,600},
{8,2,3,99351,99355,99357,600},
{9,2,4,99355,99358,99357,600},
{10,2,5,99358,99353,99355,600},
{11,3,1,99353,99355,99357,600},
{12,3,2,99351,99355,99357,600},
{13,3,3,99351,99355,99357,600},
{14,3,4,99352,99357,99358,600},
{15,3,5,99352,99357,99358,600},
{16,4,1,99351,99357,99358,600},
{17,4,2,99357,99358,99351,600},
{18,4,3,99357,99358,99351,600},
{19,4,4,99351,99357,99358,600},
{20,4,5,99353,99357,99351,600},
{21,5,1,99357,99351,99358,600},
{22,5,2,99351,99357,99358,600},
{23,5,3,99357,99351,99358,600},
{24,5,4,99357,99351,99352,600},
{25,5,5,99353,99357,99358,600},
{26,6,1,99357,99352,99358,600},
{27,6,2,99357,99356,99351,600},
{28,6,3,99357,99351,99356,600},
{29,6,4,99352,99357,99356,600},
{30,6,5,99353,99358,99356,600},
{31,7,1,99352,99357,99351,600},
{32,7,2,99357,99356,99352,600},
{33,7,3,99357,99356,99352,600},
{34,7,4,99356,99357,99352,600},
{35,7,5,99353,99358,99356,600},
{36,8,1,99357,99351,99352,600},
{37,8,2,99352,99356,99357,600},
{38,8,3,99357,99351,99356,600},
{39,8,4,99356,99357,99352,600},
{40,8,5,99353,99357,99358,600},
{41,9,1,99354,99357,99352,600},
{42,9,2,99357,99354,99356,600},
{43,9,3,99354,99358,99351,600},
{44,9,4,99358,99354,99352,600},
{45,9,5,99353,99358,99357,600},
{46,10,1,99357,99351,99358,600},
{47,10,2,99357,99351,99355,600},
{48,10,3,99357,99355,99351,600},
{49,10,4,99355,99357,99351,600},
{50,10,5,99353,99358,99357,600},
{51,11,1,99357,99352,99358,600},
{52,11,2,99357,99355,99351,600},
{53,11,3,99357,99351,99352,600},
{54,11,4,99357,99351,99352,600},
{55,11,5,99353,99351,99358,600},
{56,12,1,99352,99357,99355,600},
{57,12,2,99357,99356,99355,600},
{58,12,3,99357,99351,99358,600},
{59,12,4,99351,99357,99358,600},
{60,12,5,99353,99358,99351,600},
{61,13,1,99352,99357,99356,600},
{62,13,2,99357,99355,99356,600},
{63,13,3,99357,99355,99351,600},
{64,13,4,99358,99357,99351,600},
{65,13,5,99357,99358,99355,600},
{66,14,1,99352,99357,99355,600},
{67,14,2,99351,99356,99357,600},
{68,14,3,99351,99357,99354,600},
{69,14,4,99357,99358,99351,600},
{70,14,5,99353,99357,99355,600},
{71,15,1,99352,99355,99357,600},
{72,15,2,99357,99358,99355,600},
{73,15,3,99358,99353,99351,600},
{74,15,4,99358,99357,99353,600},
{75,15,5,99353,99358,99357,600},
{76,16,1,99357,99352,99355,600},
{77,16,2,99355,99357,99356,600},
{78,16,3,99358,99353,99351,600},
{79,16,4,99358,99355,99352,600},
{80,16,5,99353,99358,99357,600},
{81,17,1,99352,99357,99355,600},
{82,17,2,99358,99357,99355,600},
{83,17,3,99352,99355,99358,600},
{84,17,4,99352,99358,99355,600},
{85,17,5,99353,99358,99357,600},
{86,18,1,99357,99356,99352,600},
{87,18,2,99357,99356,99352,600},
{88,18,3,99357,99356,99358,600},
{89,18,4,99357,99355,99358,600},
{90,18,5,99353,99357,99358,600},
{91,19,1,99357,99358,99352,600},
{92,19,2,99357,99352,99356,600},
{93,19,3,99353,99357,99356,600},
{94,19,4,99357,99355,99352,600},
{95,19,5,99353,99355,99357,600},
{96,20,1,99357,99352,99358,600},
{97,20,2,99356,99357,99358,600},
{98,20,3,99357,99356,99358,600},
{99,20,4,99352,99357,99358,600},
{100,20,5,99353,99357,99358,600},
{101,21,1,99357,99358,99353,600},
