local e=
{
ByIdx={
{3101,1,2,3,1,1,1,5,60,1},
{3102,2,3,3,1,1,1,5,60,2},
{3103,3,4,3,1,1,1,5,60,3},
{3104,4,15,3,1,1,1,5,60,4},
{3105,15,16,3,1,1,1,5,60,5},
{3106,16,17,3,1,1,1,5,60,6},
{3107,17,18,3,1,1,1,5,60,7},
{3108,18,19,3,1,1,1,5,60,8},
{3109,19,20,3,1,1,1,5,60,9},
{3110,20,0,3,1,1,1,5,60,10},
{3201,5,6,3,2,25,28,5,50,1},
{3202,6,7,3,2,25,28,5,50,2},
{3203,7,8,3,2,25,28,5,50,3},
{3204,8,25,3,2,25,28,5,50,4},
{3205,25,26,3,2,25,28,5,50,5},
{3206,26,27,3,2,25,28,5,50,6},
{3207,27,28,3,2,25,28,5,50,7},
{3208,28,0,3,2,25,28,5,50,8},
{3301,9,10,3,3,30,30,5,40,1},
{3302,10,11,3,3,30,30,5,40,2},
{3303,11,35,3,3,30,30,5,40,3},
{3304,35,36,3,3,30,30,5,40,4},
{3305,36,37,3,3,30,30,5,40,5},
{3306,37,0,3,3,30,30,5,40,6},
{3401,12,13,3,4,35,35,5,30,1},
{3402,13,14,3,4,35,35,5,30,2},
{3403,14,45,3,4,35,35,5,30,3},
{3404,45,0,3,4,35,35,5,30,4},
{4101,1,2,4,1,1,1,5,60,1},
{4102,2,3,4,1,1,1,5,60,2},
{4103,3,4,4,1,1,1,5,60,3},
{4104,4,0,4,1,1,1,5,60,4},
{4201,5,6,4,2,25,28,5,50,1},
{4202,6,7,4,2,25,28,5,50,2},
{4203,7,8,4,2,25,28,5,50,3},
{4204,8,0,4,2,25,28,5,50,4},
{4301,9,10,4,3,30,30,5,40,1},
{4302,10,11,4,3,30,30,5,40,2},
{4303,11,0,4,3,30,30,5,40,3},
{4401,12,13,4,4,35,35,5,30,1},
{4402,13,14,4,4,35,35,5,30,2},
{4403,14,0,4,4,35,35,5,30,3},
{5101,1,2,5,1,1,1,5,60,1},
{5102,2,3,5,1,1,1,5,60,2},
{5103,3,4,5,1,1,1,5,60,3},
{5104,4,15,5,1,1,1,5,60,4},
{5105,15,16,5,1,1,1,5,60,5},
{5106,16,17,5,1,1,1,5,60,6},
